MeasureItem;Year;Month;Value;ProvidedValue;AVG_Value;FromAreaCode;ToAreaCode;MeasureTime;Direction;Flag;FromMemberType;ToMemberType
Physical Energy & Power Flows;2022;10;82;82;82;RS;ME;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;110;110;110;RS;MK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;229;229;229;RS;RO;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;175;175;175;RS;XK;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;250;250;250;RU;EE;Value on 3rd Wed. at 03;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;10;0;0;0;RU;FI;Value on 3rd Wed. at 03;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;10;194;194;194;RU;GE;Value on 3rd Wed. at 03;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2022;10;5;5;5;RU;LT;Value on 3rd Wed. at 03;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2022;10;180;180;180;RU;LV;Value on 3rd Wed. at 03;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2022;10;617;617;617;SE;DE;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;926;926;926;SE;DK;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;1910;1910;1910;SE;FI;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;308;308;308;SE;LT;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;915;915;915;SE;NO;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;597;597;597;SE;PL;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;969;969;969;SI;AT;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;501;501;501;SI;HR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;512;512;512;SI;HU;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;801;801;801;SI;IT;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;1063;1063;1063;SK;CZ;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;1908;1908;1908;SK;HU;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;820;820;820;SK;PL;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;358;358;358;SK;UA;Value on 3rd Wed. at 03;Export;Harmonized;M;NaM
Physical Energy & Power Flows;2022;10;82;82;82;LV;LT;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;122;122;122;LV;RU;Value on 3rd Wed. at 11;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;10;548;548;548;MD;RO;Value on 3rd Wed. at 11;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;10;495;495;495;MD;UA;Value on 3rd Wed. at 11;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2022;10;61;61;61;ME;AL;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;2;2;2;ME;BA;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;164;164;164;ME;IT;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;17;17;17;ME;RS;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;39;39;39;ME;XK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;2;2;2;MK;BG;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;114;114;114;MK;GR;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;16;16;16;MK;RS;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;102;102;102;MK;XK;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;48;48;48;MT;IT;Value on 3rd Wed. at 11;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;10;1055;1055;1055;NL;BE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;3270;3270;3270;NL;DE;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;698;698;698;NL;DK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;1029;1029;1029;NL;GB;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;648;648;648;NL;NO;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;322;322;322;NO;DE;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;293;293;293;NO;DK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;39;39;39;NO;FI;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;1049;1049;1049;NO;GB;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;648;648;648;NO;NL;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;328;328;328;NO;SE;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;630;630;630;PL;CZ;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;866;866;866;PL;DE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;491;491;491;PL;LT;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;596;596;596;PL;SE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;237;237;237;PL;SK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;0;0;0;PL;UA;Value on 3rd Wed. at 11;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;10;540;540;540;PT;ES;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;75;75;75;RO;BG;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;178;178;178;RO;HU;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;548;548;548;RO;MD;Value on 3rd Wed. at 11;Export;Harmonized;M;NaM
Physical Energy & Power Flows;2022;10;102;102;102;RO;RS;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;236;236;236;RO;UA;Value on 3rd Wed. at 11;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;10;250;250;250;RS;BA;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;317;317;317;RS;BG;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;113;113;113;RS;HR;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;10;178;178;178;RS;HU;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;10;17;17;17;RS;ME;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;0;0;0;MT;IT;Value on 3rd Wed. at 03;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;11;681;681;681;NL;BE;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;7;276;276;276;MD;RO;Value on 3rd Wed. at 11;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;11;1665;1665;1665;GB;FR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;212;212;212;GB;NL;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;1260;1260;1260;GB;NO;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;75;75;75;GE;AM;Value on 3rd Wed. at 03;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2022;11;600;600;600;GE;AZ;Value on 3rd Wed. at 03;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2022;11;21;21;21;GE;RU;Value on 3rd Wed. at 03;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2022;11;702;702;702;GE;TR;Value on 3rd Wed. at 03;Export;Harmonized;NaM;M
Physical Energy & Power Flows;2022;11;15;15;15;GR;AL;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;441;441;441;GR;BG;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;36;36;36;GR;IT;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;475;475;475;GR;MK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;446;446;446;GR;TR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;151;151;151;HR;BA;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;501;501;501;HR;HU;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;149;149;149;HR;RS;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;635;635;635;HR;SI;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;227;227;227;HU;AT;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;501;501;501;HU;HR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;109;109;109;HU;RO;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;25;25;25;HU;RS;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;419;419;419;HU;SI;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;1863;1863;1863;HU;SK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;217;217;217;HU;UA;Value on 3rd Wed. at 03;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;11;170;170;170;IT;AT;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;3413;3413;3413;IT;CH;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;1736;1736;1736;IT;FR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;36;36;36;IT;GR;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;581;581;581;IT;ME;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;0;0;0;IT;MT;Value on 3rd Wed. at 03;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;11;639;639;639;IT;SI;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;219;219;219;LT;BY;Value on 3rd Wed. at 03;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;11;76;76;76;LT;LV;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;441;441;441;LT;PL;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;12;12;12;LT;RU;Value on 3rd Wed. at 03;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;11;734;734;734;LT;SE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;94;94;94;LU;BE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;221;221;221;LU;DE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;345;345;345;LV;EE;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;76;76;76;LV;LT;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;55;55;55;LV;RU;Value on 3rd Wed. at 03;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;11;385;385;385;MD;RO;Value on 3rd Wed. at 03;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;11;145;145;145;MD;UA;Value on 3rd Wed. at 03;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2022;11;8;8;8;ME;AL;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;354;354;354;ME;BA;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;581;581;581;ME;IT;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;157;157;157;ME;RS;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;184;184;184;ME;XK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;438;438;438;MK;BG;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;475;475;475;MK;GR;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;10;10;10;MK;RS;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;121;121;121;MK;XK;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;588;588;588;RO;MD;Value on 3rd Wed. at 11;Export;Harmonized;M;NaM
Physical Energy & Power Flows;2022;11;165;165;165;RO;RS;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;16;16;16;RO;UA;Value on 3rd Wed. at 11;Export;Harmonized;M;NaM
Physical Energy & Power Flows;2022;11;182;182;182;RS;BA;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;398;398;398;RS;BG;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;443;443;443;RS;HR;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;404;404;404;RS;HU;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;211;211;211;RS;ME;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;21;21;21;UA;SK;Value on 3rd Wed. at 03;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;12;193;193;193;XK;AL;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;156;156;156;XK;ME;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;117;117;117;XK;MK;Value on 3rd Wed. at 03;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;88;88;88;XK;RS;Value on 3rd Wed. at 03;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;637;637;637;MD;UA;Value on 3rd Wed. at 11;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2022;12;253;253;253;ME;AL;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;292;292;292;ME;BA;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;0;0;0;ME;IT;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;117;117;117;ME;RS;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;92;92;92;ME;XK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;106;106;106;MK;BG;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;19;19;19;MK;GR;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;88;88;88;MK;RS;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;41;41;41;MK;XK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;38;38;38;MT;IT;Value on 3rd Wed. at 11;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;12;17;17;17;NL;BE;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;1764;1764;1764;NL;DE;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;697;697;697;NL;DK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;386;386;386;NL;GB;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;0;0;0;NL;NO;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;684;684;684;NO;DE;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;783;783;783;NO;DK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;43;43;43;NO;FI;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;482;482;482;NO;GB;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;0;0;0;NO;NL;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;1867;1867;1867;NO;SE;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;1122;1122;1122;PL;CZ;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;1451;1451;1451;PL;DE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;415;415;415;PL;LT;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;598;598;598;PL;SE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;414;414;414;PL;SK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;0;0;0;PL;UA;Value on 3rd Wed. at 11;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;12;945;945;945;PT;ES;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;913;913;913;RO;BG;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;257;257;257;RO;HU;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;797;797;797;RO;MD;Value on 3rd Wed. at 11;Export;Harmonized;M;NaM
Physical Energy & Power Flows;2022;12;81;81;81;RO;RS;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;21;21;21;RO;UA;Value on 3rd Wed. at 11;Export;Harmonized;M;NaM
Physical Energy & Power Flows;2022;12;59;59;59;RS;BA;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;239;239;239;RS;BG;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;396;396;396;RS;HR;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;291;291;291;RS;HU;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;117;117;117;RS;ME;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;88;88;88;RS;MK;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;81;81;81;RS;RO;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;218;218;218;RS;XK;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;17;17;17;RU;EE;Value on 3rd Wed. at 11;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;12;0;0;0;RU;FI;Value on 3rd Wed. at 11;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;12;343;343;343;RU;GE;Value on 3rd Wed. at 11;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2022;11;272;272;272;IT;ME;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;0;0;0;IT;MT;Value on 3rd Wed. at 11;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;11;1002;1002;1002;IT;SI;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;85;85;85;LT;BY;Value on 3rd Wed. at 11;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;11;247;247;247;LT;LV;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;491;491;491;LT;PL;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;2;2;2;LT;RU;Value on 3rd Wed. at 11;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;11;734;734;734;LT;SE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;230;230;230;LU;BE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;339;339;339;LU;DE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;138;138;138;LV;EE;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;247;247;247;LV;LT;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;75;75;75;LV;RU;Value on 3rd Wed. at 11;Export;Harmonized;M;NaM
Physical Energy & Power Flows;2022;11;588;588;588;MD;RO;Value on 3rd Wed. at 11;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;11;49;49;49;MD;UA;Value on 3rd Wed. at 11;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2022;11;126;126;126;ME;AL;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;329;329;329;ME;BA;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;272;272;272;ME;IT;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;211;211;211;ME;RS;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;114;114;114;ME;XK;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;147;147;147;MK;BG;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;369;369;369;MK;GR;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;26;26;26;MK;RS;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;224;224;224;MK;XK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;0;0;0;MT;IT;Value on 3rd Wed. at 11;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;11;889;889;889;NL;BE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;1427;1427;1427;NL;DE;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;0;0;0;NL;DK;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;184;184;184;NL;GB;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;619;619;619;NL;NO;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;451;451;451;NO;DE;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;298;298;298;NO;DK;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;66;66;66;NO;FI;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;1253;1253;1253;NO;GB;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;619;619;619;NO;NL;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;617;617;617;NO;SE;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;1117;1117;1117;PL;CZ;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;1677;1677;1677;PL;DE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;491;491;491;PL;LT;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;597;597;597;PL;SE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;561;561;561;PL;SK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;11;0;0;0;PL;UA;Value on 3rd Wed. at 11;Import;Harmonized;M;NaM
Physical Energy & Power Flows;2022;11;316;316;316;PT;ES;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;1343;1343;1343;RO;BG;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;11;14;14;14;RO;HU;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;5;5;5;LT;RU;Value on 3rd Wed. at 11;Export;Harmonized;M;NaM
Physical Energy & Power Flows;2022;12;732;732;732;LT;SE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;75;75;75;LU;BE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;427;427;427;LU;DE;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;256;256;256;LV;EE;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;12;166;166;166;LV;LT;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;12;104;104;104;LV;RU;Value on 3rd Wed. at 11;Export;Harmonized;M;NaM
Physical Energy & Power Flows;2022;12;797;797;797;MD;RO;Value on 3rd Wed. at 11;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;7;248;248;248;RS;ME;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;7;86;86;86;RS;MK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;7;150;150;150;RS;RO;Value on 3rd Wed. at 11;Import;Harmonized;M;M
Physical Energy & Power Flows;2022;7;108;108;108;RS;XK;Value on 3rd Wed. at 11;Export;Harmonized;M;M
Physical Energy & Power Flows;2022;7;124;124;124;RU;EE;Value on 3rd Wed. at 11;Import;Harmonized;NaM;M
Physical Energy & Power Flows;2022;7;0;0;0;RU;FI;Value on 3rd Wed. at 11;Import;Harmonized;NaM;M
